0,1,2,3,4,5,6,7
2.0,199.9,210.0,430.0,250000.0,22.0,22.0,0.208
2.0,199.9,210.0,430.0,250000.0,22.0,22.0,1.0
2.0,199.9,210.0,430.0,250000.0,22.0,22.0,3.0
0.0,199.9,210.0,430.0,250000.0,4.0,22.0,0.208
0.0,199.9,610.0,1280.0,250000.0,4.0,22.0,0.208
0.0,199.9,420.0,459.4332666666667,250000.0,4.0,22.0,0.208
0.0,199.9,210.0,460.0783333333333,250000.0,4.0,22.0,0.208
0.0,199.9,180.0,460.29793333333333,250000.0,4.0,22.0,0.208
0.0,199.9,150.0,460.0783333333333,250000.0,4.0,22.0,0.208
3.0,10.0,210.0,1052.1,1000000.0,26.0,22.0,0.0
3.0,10.0,210.0,1103.09,1000000.0,26.0,22.0,7.0
2.0,10.0,210.0,917.23,1000000.0,26.0,22.0,0.0
2.0,10.0,210.0,1132.66,1000000.0,26.0,22.0,7.0
2.0,10.0,210.0,1015.34,1000000.0,26.0,22.0,0.0
2.0,10.0,210.0,1560.65,1000000.0,26.0,22.0,7.0
3.0,10.0,210.0,909.19,1000000.0,26.0,22.0,0.0
3.0,10.0,210.0,550.202,1000000.0,26.0,22.0,7.0
2.0,10.0,210.0,858.15,1000000.0,26.0,22.0,0.0
2.0,10.0,210.0,546.471,1000000.0,26.0,22.0,7.0
2.0,10.0,210.0,833.96,1000000.0,26.0,22.0,0.0
2.0,10.0,210.0,546.471,1000000.0,26.0,22.0,7.0
5.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
8.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
8.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
8.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
10.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
10.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
10.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
10.0,137.19842666666668,415.0,595.6433333333333,1300000.0,22.0,4.0,0.0
15.0,137.19842666666668,415.0,574.0006666666667,1300000.0,22.0,4.0,0.0
15.0,137.19842666666668,415.0,574.0006666666667,1300000.0,22.0,4.0,0.0
15.0,137.19842666666668,415.0,574.0006666666667,1300000.0,22.0,4.0,0.0
20.0,137.19842666666668,415.0,574.0006666666667,1300000.0,22.0,4.0,0.0
20.0,137.19842666666668,415.0,574.0006666666667,1300000.0,22.0,4.0,0.0
